case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note,DualPath_e01_style_specificity,DualPath_e01_structure_preservation,DualPath_e01_artifact_control,DualPath_e01_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply minimalism; output is overly blurred and lacks stylistic intent. Structure is preserved but degraded by noise.,2,3,2,"Similar to QEdgePattn_e01 — no clear minimalism applied. Output appears as a washed-out, low-contrast version of source with artifacts.",5,5,5,"Perfectly captures minimalism: flat colors, clean geometry, simplified forms. Structure is well-preserved with stylized clarity. No artifacts."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; image appears blurred and washed out with minimal stylistic features. Structure is somewhat preserved but degraded by artifacts.,2,3,2,"Similar to QEdgePattn_e01 — poor style transfer, heavy blur, and low fidelity to Rococo aesthetics. Structure is recognizable but compromised.",5,5,5,"Excellent Rococo style integration: ornate frame, soft lighting, rich colors, and decorative motifs match target reference. Source structure (figure pose, composition) is perfectly preserved with no visible artifacts."
Minimalism__judy-chicago_morning-fan-1971__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,3,5,3,Strong structure preservation with clear vertical bands; moderate style transfer with soft pastel tones but lacks Renaissance texture or depth; minor halo artifacts at band edges.,2,4,2,"Structure mostly preserved but blurred; style transfer is weak and indistinct; noticeable smearing and loss of edge definition, especially in lower bands.",5,4,5,"Best stylistic match to Early Renaissance with warm earth tones and subtle gradient blending; structure slightly softened but still coherent; minimal artifacts, clean transitions."
Rococo__pietro-longhi_the-tooth-extractor__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy foggy blur obscures structure; minimal impressionistic texture or color variation; artifacts from over-smoothing.,2,3,2,"Similar to QEdgePattn — muted, hazy output with poor stylistic fidelity and structural degradation due to excessive diffusion noise.",5,5,5,"Excellent preservation of original composition and figures; strong impressionist brushwork, color palette, and atmospheric lighting matching target reference; no visible artifacts."
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is preserved but lacks clarity and artistic intent.",2,3,2,"Similar to QEdgePattn_e01 — low contrast, indistinct features, no clear stylistic direction or refinement.",5,5,5,"Strong minimalist aesthetic with bold color blocks, clean geometry, and clear spatial composition; faithfully adapts source content into target style without artifacts."
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly washed out, loses color and detail; minimalism not well captured, appears faded rather than stylized.",2,3,2,"Similar to QEdgePattn_e01 — overly desaturated and blurry, fails to convey intentional minimalism or retain visual clarity.",5,5,5,"Clean, bold color blocks with simplified forms; preserves key structural elements while achieving strong minimalist aesthetic with no visible artifacts."
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and low contrast; style is vague and lacks Ukiyo-e characteristics. Structure is preserved but obscured by haze.,2,3,2,"Similar to QEdgePattn, suffers from excessive blurring and lack of definition. Style is not clearly Ukiyo-e.",5,5,5,"Excellent Ukiyo-e style transfer with clear line work, appropriate color palette, and sharp structural preservation. No visible artifacts."
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Early_Renaissance,Impressionism,Early_Renaissance,DualPath_e01,DualPath_e01,DualPath_e01,DualPath_e01,4,3,4,3,Moderate Renaissance color palette and softness; structure mostly preserved but with slight blurring and color bleeding; some artifacts in sky and foliage.,5,5,5,"Strong Early Renaissance aesthetic with muted tones, soft gradients, and painterly texture; excellent structural fidelity and minimal artifacts.",2,4,4,"Darker, more somber tone with less Renaissance character; structure well preserved but lacks stylistic warmth and detail; minor smudging in grass area."
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,DualPath_e01,4,2,5,3,Preserves source structure well but applies minimal Rococo styling; appears washed out and lacks ornamental detail.,3,4,5,"Clean output with good structural fidelity and no visible artifacts; style is subtly applied, somewhat muted but coherent.",5,3,4,Strongest Rococo styling with ornate frame and decorative elements; structure is altered by framing but content remains recognizable; minor blending artifacts near edges.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely lost structure and style; appears as a blurred beige patch with no discernible Ukiyo-e features or source content.,2,1,1,"Similar to C — extremely blurry, no structural fidelity, and no recognizable Ukiyo-e stylistic elements. Fails on all criteria.",4,5,5,"Preserves the rectangular shape and aspect ratio of the source. Applies a warm, aged-paper tone reminiscent of Ukiyo-e prints. Minimal artifacts, clean edges, and coherent color gradient. Lacks detailed linework but succeeds in overall aesthetic impression."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure preserved but with heavy artifacts.",2,3,2,Similar to QEdgePattn_e01; lacks stylistic clarity and introduces noticeable blur and noise.,5,5,5,"Clean, stylized minimalism with strong structure and no visible artifacts; best overall result."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and hazy; loses stylistic intent and structural clarity.,2,3,2,"Similar to QEdgePattn — foggy, low contrast, minimal style transfer.",5,5,5,"Clean, bold flat colors and simplified forms match minimalism perfectly while preserving source structure."
Minimalism__john-mclaughlin_number-4__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Completely fails to apply Rococo style; output is a blurred beige gradient with no ornamental detail or stylistic fidelity.,1,2,1,"Identical to QEdgePattn_e01 — no Rococo elements rendered, only a smooth color wash with white bands.",5,5,5,"Perfectly captures Rococo aesthetics: ornate gilded frames, floral motifs, pastel tones, and decorative borders. Structure of source panels preserved within stylized context. No artifacts."
Ukiyo_e__keisai-eisen_the-courtesan-kaoru-of-owariya-matched-with-okitsu-1825(1)__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,Preserves structure well but fails to apply Renaissance style; appears as faded original.,2,5,3,Identical to QEdgePattn_e01; no style transfer applied.,5,4,5,Successfully applies chiaroscuro and painterly texture; minor structural softening but excellent style fidelity.
Rococo__william-hogarth_the-countess-s-morning-levee__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Heavy blur and smearing obscure details; style transfer is weak and indistinct, with significant loss of fine structure and introduction of artifacts.",2,3,2,"Similar to QEdgePattn_e01 — overly smoothed, low contrast, and lacks Renaissance stylistic fidelity; structural elements are preserved but degraded by haze-like artifacts.",5,5,5,"Excellent preservation of original composition and figures; successfully applies Early Renaissance color palette, lighting, and texture without introducing visible artifacts or distortion."
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses both color fidelity and structural clarity. Minimalist intent is obscured by noise-like artifacts.,2,3,2,"Similar to QEdgePattn — diffuse, low-contrast output with poor color retention and visible blending artifacts. Fails to convey minimalism cleanly.",5,5,5,"Perfectly preserves source structure (rounded rectangle) and color (vibrant yellow). Clean, artifact-free, and aligns with minimalist aesthetic through simplicity and bold form."
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses both style and structural detail. Minimalist intent is not conveyed.,3,4,3,"Retains scene structure but applies a soft, painterly blur that doesn’t align with minimalism. Some artifacts in sky and figures.",5,5,5,"Clean geometric abstraction, flat colors, simplified forms — strong minimalist interpretation while preserving key compositional elements of source."
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses texture and color vibrancy of Impressionism. Structure is preserved but at cost of stylistic fidelity.,2,3,2,"Similar to QEdgePattn — hazy, low-contrast output with muted colors. Fails to capture the energetic brushwork or chromatic richness of Impressionism.",5,5,5,"Excellent match to Impressionist style: visible brushstrokes, vibrant palette, soft edges, and atmospheric lighting. Structure fully preserved without artifacts."
Ukiyo_e__utagawa-kuniyoshi_a-record-of-origins-of-the-great-country-of-japan__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, sketchy style; lacks color and brushwork of Impressionism. Structure preserved but overly linear and washed out.",2,4,3,"Similar to QEdgePattn — minimal color, heavy line work, no impressionistic texture or palette. Structure intact but stylistically weak.",5,5,5,"Strong Impressionist rendering: visible brushstrokes, vibrant yet harmonious colors, soft edges, and atmospheric lighting. Structure faithfully retained with artistic enhancement."
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,5,5,"Excellent structure and artifact control, but fails to apply Rococo style; output is nearly identical to source.",2,4,4,"Similar to QEdgePattn, preserves structure well but lacks stylistic transfer; slight over-smoothing reduces detail.",5,3,3,"Strongly applies Rococo style with ornate frame and soft palette, but distorts source structure and introduces artifacts."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,2,3,2,"Very blurry and washed-out; style transfer is weak and indistinct, with significant loss of detail and color fidelity.",3,5,5,"Excellent structure preservation and clean output, but the style application is subtle and somewhat muted, lacking strong Rococo characteristics.",5,4,3,"Strongest Rococo style application with ornate framing and pastel tones. Minor structural softness and slight artifacting in the border, but overall the most stylistically faithful."
Early_Renaissance__pisanello_stork-1430__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,3,5,3,Good structural fidelity but lacks strong Ukiyo-e stylistic traits; background is overly textured and noisy.,3,5,3,Similar to QEdgePattn_e01 — preserves structure well but fails to convey authentic Ukiyo-e aesthetics; similar noise artifacts.,5,4,5,"Strongest Ukiyo-e style match with clean rendering, appropriate color palette, and minimal artifacts; slight loss in fine leg detail."
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,Preserves structure well but fails to apply Renaissance style; appears as a faded copy of source.,2,5,3,Identical to QEdgePattn_e01; no style transfer achieved.,4,4,5,"Successfully applies Early Renaissance lighting, texture, and depth while preserving scene structure with minimal artifacts."
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly smoothed and washed-out; loses Renaissance texture and color depth; structure preserved but style is generic.,2,3,2,Similar to QEdgePattn — lacks stylistic fidelity to Early Renaissance; slight improvement in tonal harmony but still too diffuse.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic cues: rich palette, atmospheric perspective, painterly brushwork, and compositional balance matching target reference."
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,Preserves source structure well but applies minimal Rococo styling; appears mostly grayscale with faint color washes and lacks ornamental detail.,2,5,3,Similar to QEdgePattn — strong structural fidelity but very weak Rococo style transfer; output is nearly monochrome with smudged edges and no stylistic richness.,5,3,5,"Strongly captures Rococo aesthetics: pastel palette, ornate arch framing, soft brushwork, and decorative elements. Structure is somewhat altered (arch added), but artifacts are minimal and overall effect is cohesive and stylistically faithful."
Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is blurry and lacks stylistic intent. Structure is partially preserved but obscured by noise.,2,3,2,"Similar to QEdgePattn — overly diffuse, no clear minimal aesthetic. Structure visible but degraded by smearing artifacts.",5,5,5,"Perfectly captures minimalism with clean lines, flat colors, and simplified forms. Structure fully preserved. No artifacts."
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Extremely blurry and washed out; fails to convey minimalism or preserve structure.,1,2,1,"Similar to QEdgePattn — hazy, low contrast, no stylistic clarity or structural fidelity.",5,5,5,"Clean geometric shapes, bold flat colors, clear composition — strong minimalism with full structural retention and zero artifacts."
Impressionism__edouard-manet_tarring-the-boat-1873__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,3,2,"Fails to apply minimalism; output is a blurred, low-fidelity copy of the source with no stylistic transformation.",1,3,2,Identical to QEdgePattn_e01; fails to apply minimalism and suffers from severe blurring artifacts.,5,5,5,Perfectly captures the minimalism style with clean vector-like shapes and flat colors while preserving the source composition and content without artifacts.
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy blur and smearing obscure both style and structure; Rococo elements are barely discernible.,2,3,2,"Similar to QEdgePattn_e01 — overly smoothed, losing fine detail and stylistic fidelity; minor structural coherence remains.",5,5,5,"Excellent preservation of source structure with clear Rococo styling: ornate borders, pastel tones, decorative motifs, and elegant figures. Minimal artifacts; highly faithful to target style."
Rococo__antoine-pesne_carl-heinrich-graun__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Severely degraded; image is washed out and blurry with no discernible Rococo style or structural fidelity.,1,2,1,Nearly identical to QEdgePattn_e01; suffers from same severe blurring and lack of stylistic or structural integrity.,5,5,5,"Excellent preservation of source structure and strong application of Rococo aesthetic (ornate frame, soft lighting, pastel tones). No visible artifacts."
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low Rococo style transfer; appears washed out and lacks ornamental detail. Structure is mostly preserved but with heavy blur. Artifacts include smudging and loss of texture.,2,4,3,"Similar to QEdgePattn — minimal Rococo influence, overly smoothed output. Structure retained but details lost. Minor artifacts from over-smoothing.",5,5,5,"Excellent Rococo style integration: ornate frame, soft pastel tones, decorative arch, and painterly texture. Source structure perfectly preserved. No visible artifacts."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves source structure perfectly but fails to apply Rococo style; output remains grayscale line art with no color or texture transfer.,2,5,3,"Structure is well-preserved, but style transfer is minimal — mostly grayscale with faint pinkish tones; lacks Rococo richness and detail.",5,4,5,"Successfully applies Rococo aesthetic with soft pastels, ornate framing, and painterly texture; minor structural softening but overall excellent fidelity to target style."
Impressionism__stefan-dimitrescu_cabaret__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; heavy smudging and loss of detail; structure partially preserved but blurred.,2,3,2,Similar to QEdgePattn; minimal Rococo influence; significant haze and artifacting obscures content.,5,5,5,Strong Rococo aesthetic with ornate frame and soft pastel tones; excellent structure retention and clean output.
Ukiyo_e__hiroshige_oiso-toraga-ame-shower-1835__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but applies a generic textured overlay rather than true Impressionist brushwork; lacks color vibrancy and stylistic coherence.,2,4,3,Nearly identical to QEdgePattn_e01; suffers from same lack of stylistic fidelity and visible artifacts from texture blending.,5,5,5,"Excellent Impressionist style transfer with visible brushstroke texture, warm palette, and soft edges; structure preserved cleanly with no visible artifacts."
Rococo__dmitry-levitzky_maria-feodorovna__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and washed-out; loses Renaissance chiaroscuro and texture detail. Structure is preserved but style is too diffuse.,3,4,3,Better than QEdgePattn but still lacks crisp Renaissance modeling. Slight smudging around edges; moderate style transfer.,5,5,5,"Excellent preservation of original structure with strong Early Renaissance stylistic traits: rich color, soft glazing, defined chiaroscuro, and period-appropriate rendering. Minimal artifacts."
Ukiyo_e__utagawa-kunisada_not_detected_240381(1)__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Minimal style transfer; retains source structure but lacks Rococo elements. Faded, low-contrast output with visible artifacts.",2,3,2,Similar to QEdgePattn_e01; slight improvement in color but still fails to apply Rococo style. Structure preserved but visually flat.,5,4,5,Strong Rococo style application with ornate borders and soft pastel tones. Source structure largely preserved with minor distortion. Clean output with no visible artifacts.
Minimalism__robert-ryman_surface-veil-1970__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,3,2,"Minimal style transfer; appears as a blurred, washed-out version of the source with no Rococo elements. Structure is preserved but lacks detail. High artifact presence due to lack of stylistic integration.",1,3,2,Identical to QEdgePattn_e01 in output — no style applied. Same structural preservation and artifact issues. Fails to incorporate any Rococo characteristics.,5,4,5,"Excellent Rococo style transfer: ornate floral and scrollwork border accurately reflects target style. Source paper texture and shape are well-preserved. No visible artifacts; clean, high-fidelity result."
Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a faded, low-contrast version of the source with no stylistic abstraction or simplification.",2,3,2,"Similar to QEdgePattn_e01; lacks minimalism, appears as a washed-out, blurry rendition with no clear stylistic intent.",5,4,5,"Successfully applies minimalism via flat colors, geometric simplification, and reduced detail while preserving key architectural structures and scene layout."
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Severely blurred and washed out; no stylistic fidelity to minimalism; structure lost in haze.,1,2,1,"Identical to QEdgePattn_e01 — same blur artifact, zero style transfer, poor structure retention.",5,5,5,"Perfectly captures minimalism via flat color blocks, geometric simplification, and clean edges while preserving subject structure and eliminating artifacts."
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy foggy blur obscures structure and lacks impressionistic brushwork; appears more like a diffusion artifact than style transfer.,2,3,2,"Similar to QEdgePattn — overly smoothed, low contrast, no visible texture or color variation typical of Impressionism; structure preserved but stylistically weak.",5,5,5,"Excellent Impressionist rendering: visible brushstrokes, vibrant yet harmonious colors, preserved facial and garment structure, no artifacts. Best overall output."
Impressionism__childe-hassam_september-moonrise__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is overly blurred and washed out, losing both style and structural clarity.",2,3,2,Similar to QEdgePattn_e01; suffers from heavy blur and lack of stylistic fidelity to minimalism.,5,5,5,"Perfectly captures minimalism with clean geometric shapes, flat colors, and preserved landscape structure. No artifacts."
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves wave structure well but lacks color and texture of Ukiyo-e; appears grayscale and flat.,2,5,4,Similar to QEdgePattn — strong structural fidelity but minimal stylistic transfer; monochrome output.,5,4,5,"Strong Ukiyo-e aesthetic with vibrant colors, woodblock texture, and atmospheric sky; minor loss in fine wave detail."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,"Preserves structure well but applies a heavy, smoky filter that obscures detail and lacks Rococo elegance or color.",2,5,3,Identical to QEdgePattn_e01 in this output; strong structure but poor stylistic transfer.,5,4,5,"Successfully applies Rococo aesthetics (pastels, ornate framing) while maintaining the subject's integrity and clarity."
Rococo__bernardo-bellotto_pirna-seen-from-the-right-bank-of-the-elbe__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply minimalism; retains painterly texture and color from source. Structure is preserved but lacks stylistic transformation.,2,3,2,Similar to QEdgePattn_e01; no meaningful style transfer. Output is nearly identical to source with minor smoothing.,5,4,5,"Successfully applies minimalism: flat colors, simplified shapes, clean lines. Structure is well-preserved with clear buildings, water, and sky. No artifacts or noise."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,2,3,3,"Faint, washed-out impressionistic texture; structure preserved but style is weak and indistinct.",3,5,5,Excellent structure retention with minimal artifacts; style is present but muted — lacks bold color or brushwork of true Impressionism.,5,4,4,"Strongest Impressionist style: vibrant colors, visible brushstrokes, atmospheric lighting. Minor structural distortion in boat shape, but overall most faithful to target style."
Minimalism__eva-hesse_expanded-expansion-1969__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,2,Completely ignores Rococo style; output resembles abstract draped fabric with no ornamental or historical styling. Structure is distorted and lacks fidelity to source.,1,2,2,"Identical to QEdgePattn_e01 — no stylistic transfer, poor structure, and high artifact presence. Fails all criteria.",5,5,5,"Excellent Rococo styling: ornate frame, pastel tones, decorative motifs. Source curtain structure preserved accurately. No visible artifacts or distortions."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly abstract and smudged; loses source structure and fails to convey Impressionist brushwork or color harmony.,2,3,2,"Similar to QEdgePattn — ghostly, low-contrast, and structurally degraded; no clear Impressionist texture or palette.",5,5,5,"Excellent preservation of source composition and figures; applies soft, dappled brushwork and warm, luminous colors characteristic of Impressionism with minimal artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak impressionistic texture; overly smooth and painterly but lacks brushwork detail. Structure preserved but colors are muddy and desaturated.,2,3,2,"Similar to QEdgePattn — minimal stylistic transfer, mostly just color shift. No visible brush strokes or impressionist characteristics. Structure intact but bland.",5,5,5,"Strong impressionist rendering with visible brushwork, vibrant yet harmonious colors, and faithful preservation of original composition and figures. Minimal artifacts."
Rococo__dmitry-levitzky_maria-feodorovna__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and hazy; loses fine detail and texture. Style transfer is weak and indistinct, resembling smudging rather than Impressionist brushwork.",3,4,3,"Better than QEdgePattn_e01 with some visible texture and color variation, but still suffers from excessive softness and lack of crisp Impressionist strokes. Structure mostly preserved but slightly washed out.",5,5,5,"Excellent preservation of original structure and facial features while successfully applying Impressionist-style brushwork and color palette. Clean edges, no artifacts, and strong stylistic fidelity to target reference."
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,3,3,3,Moderate impressionistic brushwork but lacks color vibrancy and texture fidelity; structure is somewhat blurred.,4,5,5,Excellent structural retention with clean edges and minimal artifacts; style is present but slightly muted compared to reference.,5,4,4,Strongest impressionistic style match with rich colors and expressive brushstrokes; minor structural softening but overall superior aesthetic.
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e linearity or color blocking. Structure is somewhat preserved but blurred. Heavy noise and smearing artifacts.",2,3,2,Similar to QEdgePattn but slightly more coherent in color. Still lacks strong Ukiyo-e stylistic markers. Structure is acceptable but soft. Noticeable blurring and color bleeding artifacts.,5,5,5,"Excellent Ukiyo-e style transfer: bold outlines, flat color regions, and appropriate texture. Structure is perfectly preserved with clear figure-ground separation. No visible artifacts; clean and faithful to both source content and target style."
Minimalism__frank-stella_gezira-from-black-series-ii-1967__to__Impressionism,Minimalism,Impressionism,DualPath_e01,DualPath_e01,Seedream_repaired750,DualPath_e01,4,3,4,3,Moderate impressionistic texture applied; structure preserved but edges slightly blurred; some noise in background.,5,4,5,"Strong impressionist brushwork with soft blending; structure well maintained; minimal artifacts, clean background.",2,5,4,Highly preserves original geometric structure but lacks impressionist style; appears nearly identical to source; low stylistic transfer.
